label	original	sqrt	half	quarter	tenth	num_clusters
d1_ic10/allBins	329.0	329.0	329.0	329.0	346.0	348.0
d1_ic10/bin1	7.0	7.0	7.0	7.0	7.0	7.0
d1_ic10/bin2	20.0	20.0	20.0	20.0	23.0	23.0
d1_ic10/bin3	63.0	63.0	63.0	63.0	74.0	74.0
d1_ic10/bin4	132.0	132.0	132.0	132.0	135.0	136.0
d1_ic10/bin5	107.0	107.0	107.0	107.0	107.0	108.0
d1_ic100/allBins	311.0	311.0	311.0	312.0	326.0	331.0
d1_ic100/bin1	4.0	4.0	4.0	4.0	4.0	4.0
d1_ic100/bin2	9.0	9.0	9.0	10.0	11.0	11.0
d1_ic100/bin3	64.0	64.0	64.0	64.0	70.0	70.0
d1_ic100/bin4	121.0	121.0	121.0	121.0	128.0	133.0
d1_ic100/bin5	113.0	113.0	113.0	113.0	113.0	113.0
d1_ic3/allBins	314.0	314.0	314.0	314.0	331.0	331.0
d1_ic3/bin1	1.0	1.0	1.0	1.0	1.0	1.0
d1_ic3/bin2	15.0	15.0	15.0	15.0	19.0	19.0
d1_ic3/bin3	68.0	68.0	68.0	68.0	76.0	76.0
d1_ic3/bin4	123.0	123.0	123.0	123.0	128.0	128.0
d1_ic3/bin5	107.0	107.0	107.0	107.0	107.0	107.0
d1_ic50/allBins	319.0	319.0	319.0	319.0	335.0	338.0
d1_ic50/bin1	5.0	5.0	5.0	5.0	5.0	5.0
d1_ic50/bin2	11.0	11.0	11.0	11.0	13.0	14.0
d1_ic50/bin3	76.0	76.0	76.0	76.0	89.0	89.0
d1_ic50/bin4	118.0	118.0	118.0	118.0	119.0	120.0
d1_ic50/bin5	109.0	109.0	109.0	109.0	109.0	110.0
d2_ic10/allBins	228.0	229.0	228.0	227.0	238.0	248.0
d2_ic10/bin1	3.0	3.0	3.0	2.0	2.0	3.0
d2_ic10/bin2	15.0	15.0	15.0	15.0	20.0	23.0
d2_ic10/bin3	47.0	48.0	47.0	47.0	53.0	54.0
d2_ic10/bin4	90.0	90.0	90.0	90.0	90.0	94.0
d2_ic10/bin5	73.0	73.0	73.0	73.0	73.0	74.0
d2_ic100/allBins	210.0	209.0	210.0	210.0	217.0	224.0
d2_ic100/bin2	3.0	2.0	3.0	3.0	3.0	3.0
d2_ic100/bin3	33.0	33.0	33.0	33.0	40.0	41.0
d2_ic100/bin4	94.0	94.0	94.0	94.0	94.0	98.0
d2_ic100/bin5	80.0	80.0	80.0	80.0	80.0	82.0
d2_ic3/allBins	231.0	232.0	231.0	232.0	243.0	247.0
d2_ic3/bin1	4.0	4.0	4.0	4.0	4.0	4.0
d2_ic3/bin2	14.0	15.0	14.0	15.0	20.0	20.0
d2_ic3/bin3	47.0	47.0	47.0	47.0	52.0	54.0
d2_ic3/bin4	92.0	92.0	92.0	92.0	93.0	95.0
d2_ic3/bin5	74.0	74.0	74.0	74.0	74.0	74.0
d2_ic50/allBins	224.0	224.0	224.0	224.0	230.0	233.0
d2_ic50/bin1	3.0	3.0	3.0	3.0	3.0	3.0
d2_ic50/bin2	7.0	7.0	7.0	7.0	10.0	10.0
d2_ic50/bin3	33.0	33.0	33.0	33.0	36.0	36.0
d2_ic50/bin4	106.0	106.0	106.0	106.0	106.0	107.0
d2_ic50/bin5	75.0	75.0	75.0	75.0	75.0	77.0
d3_ic10/allBins	85.0	85.0	85.0	85.0	90.0	101.0
d3_ic10/bin1	1.0	1.0	1.0	1.0	1.0	3.0
d3_ic10/bin2	5.0	5.0	5.0	5.0	6.0	7.0
d3_ic10/bin3	19.0	19.0	19.0	19.0	20.0	22.0
d3_ic10/bin4	30.0	30.0	30.0	30.0	31.0	34.0
d3_ic10/bin5	30.0	30.0	30.0	30.0	32.0	35.0
d3_ic100/allBins	105.0	106.0	105.0	107.0	109.0	118.0
d3_ic100/bin1	12.0	12.0	12.0	14.0	14.0	17.0
d3_ic100/bin2	12.0	12.0	12.0	12.0	14.0	15.0
d3_ic100/bin3	22.0	22.0	22.0	22.0	22.0	22.0
d3_ic100/bin4	26.0	27.0	26.0	26.0	26.0	27.0
d3_ic100/bin5	33.0	33.0	33.0	33.0	33.0	37.0
d3_ic3/allBins	88.0	88.0	88.0	88.0	90.0	103.0
d3_ic3/bin1	3.0	3.0	3.0	3.0	3.0	5.0
d3_ic3/bin2	4.0	4.0	4.0	4.0	6.0	7.0
d3_ic3/bin3	20.0	20.0	20.0	20.0	21.0	22.0
d3_ic3/bin4	30.0	30.0	30.0	30.0	30.0	34.0
d3_ic3/bin5	31.0	31.0	31.0	31.0	30.0	35.0
d3_ic50/allBins	88.0	89.0	89.0	89.0	91.0	102.0
d3_ic50/bin1	0.0	1.0	1.0	1.0	1.0	3.0
d3_ic50/bin2	6.0	6.0	6.0	6.0	6.0	8.0
d3_ic50/bin3	20.0	20.0	20.0	20.0	20.0	22.0
d3_ic50/bin4	31.0	31.0	31.0	31.0	32.0	35.0
d3_ic50/bin5	31.0	31.0	31.0	31.0	32.0	34.0
