GO-LABEL	PROTEIN	GO-LABEL-TYPE
GO:0000030	POMT2	molecular_function
GO:0000030	PIGV	molecular_function
GO:0000030	DPY19L4	molecular_function
GO:0000030	TMTC4	molecular_function
GO:0000030	TMTC3	molecular_function
GO:0000030	DPY19L1	molecular_function
GO:0000030	POMT1	molecular_function
GO:0000030	PIGZ	molecular_function
GO:0000030	TMTC2	molecular_function
GO:0000030	PIGB	molecular_function
GO:0000030	TMTC1	molecular_function
GO:0000030	ALG12	molecular_function
GO:0000030	ALG1	molecular_function
GO:0000030	ALG9	molecular_function
GO:0000030	DPY19L3	molecular_function
GO:0000030	DPY19L2	molecular_function
GO:0000030	PIGM	molecular_function
GO:0000049	DTD1	molecular_function
GO:0000049	EEFSEC	molecular_function
GO:0000049	TRMU	molecular_function
GO:0000049	METTL1	molecular_function
GO:0000049	ALKBH1	molecular_function
GO:0000049	PSTK	molecular_function
GO:0000049	FARSA	molecular_function
GO:0000049	SEPSECS	molecular_function
GO:0000049	CTU2	molecular_function
GO:0000049	RPL35A	molecular_function
GO:0000049	TRMT10C	molecular_function
GO:0000049	IARS2	molecular_function
GO:0000049	TRMT10A	molecular_function
GO:0000049	TRNT1	molecular_function
GO:0000049	TRMT10B	molecular_function
GO:0000049	ALKBH8	molecular_function
GO:0000049	SARS2	molecular_function
GO:0000049	NSUN3	molecular_function
GO:0000049	NSUN6	molecular_function
GO:0000049	AARS2	molecular_function
GO:0000049	ELP5	molecular_function
GO:0000049	YARS2	molecular_function
GO:0000049	EARS2	molecular_function
GO:0000049	AIMP1	molecular_function
GO:0000049	XPO5	molecular_function
GO:0000049	PTCD1	molecular_function
GO:0000049	TRNAU1AP	molecular_function
GO:0000049	TYW5	molecular_function
GO:0000049	FARS2	molecular_function
GO:0000049	EIF2S3	molecular_function
GO:0000049	IGHMBP2	molecular_function
GO:0000049	NAT10	molecular_function
GO:0000049	NEMF	molecular_function
GO:0000049	THG1L	molecular_function
GO:0000049	MRPS27	molecular_function
GO:0000049	PUS1	molecular_function
GO:0000049	TRMT1	molecular_function
GO:0000049	TRMT11	molecular_function
GO:0000049	IFIT5	molecular_function
GO:0000049	YRDC	molecular_function
GO:0000049	EIF2AK4	molecular_function
GO:0000049	HSD17B10	molecular_function
GO:0000049	SSB	molecular_function
GO:0000049	SLFN11	molecular_function
GO:0000049	TRMT1L	molecular_function
GO:0000049	EIF2A	molecular_function
GO:0000049	ELP3	molecular_function
GO:0000049	TERT	molecular_function
GO:0000049	NSUN2	molecular_function
GO:0000049	DTD2	molecular_function
GO:0000049	CTU1	molecular_function
GO:0000049	DARS2	molecular_function
GO:0000049	EEF1A1	molecular_function
GO:0000049	XPOT	molecular_function
GO:0000146	MYO1G	molecular_function
GO:0000146	MYH2	molecular_function
GO:0000146	MYH3	molecular_function
GO:0000146	MYH4	molecular_function
GO:0000146	MYH6	molecular_function
GO:0000146	MYH7	molecular_function
GO:0000146	MYH8	molecular_function
GO:0000146	MYH9	molecular_function
GO:0000146	MYH10	molecular_function
GO:0000146	MYO3A	molecular_function
GO:0000146	MYH13	molecular_function
GO:0000146	MYO1A	molecular_function
GO:0000146	MYO1C	molecular_function
GO:0000146	MYO1D	molecular_function
GO:0000146	MYO1E	molecular_function
GO:0000146	MYO5A	molecular_function
GO:0000146	MYO5B	molecular_function
GO:0000146	MYO6	molecular_function
GO:0000146	MYO7A	molecular_function
GO:0000146	MYO7B	molecular_function
GO:0000146	MYH14	molecular_function
GO:0000146	MYO9B	molecular_function
GO:0000146	MYO19	molecular_function
GO:0000146	MYO1H	molecular_function
GO:0000146	MYO1F	molecular_function
GO:0000146	MYO1B	molecular_function
GO:0000146	MYO15A	molecular_function
GO:0000146	MYO5C	molecular_function
GO:0000175	CNOT6	molecular_function
GO:0000175	PNPT1	molecular_function
GO:0000175	REXO2	molecular_function
GO:0000175	EXOSC9	molecular_function
GO:0000175	EXOSC10	molecular_function
GO:0000175	XRN2	molecular_function
GO:0000175	PDE12	molecular_function
GO:0000175	DIS3L2	molecular_function
GO:0000175	CNOT6L	molecular_function
GO:0000175	USB1	molecular_function
GO:0000175	DIS3L	molecular_function
GO:0000175	EXD2	molecular_function
GO:0000175	ANGEL2	molecular_function
GO:0000175	ERI3	molecular_function
GO:0000175	CNOT7	molecular_function
GO:0000175	ANGEL1	molecular_function
GO:0000175	EXOSC3	molecular_function
GO:0000175	PAN2	molecular_function
GO:0000175	PARN	molecular_function
GO:0000175	EXOSC5	molecular_function
GO:0000175	ISG20L2	molecular_function
GO:0000175	ISG20	molecular_function
GO:0000175	ERI1	molecular_function
GO:0000175	ERI2	molecular_function
GO:0000175	EXOSC7	molecular_function
GO:0000175	EXOSC2	molecular_function
GO:0000175	DIS3	molecular_function
GO:0000175	EXOSC4	molecular_function
GO:0000175	TOE1	molecular_function
GO:0000175	CNOT8	molecular_function
GO:0000287	NUDT18	molecular_function
GO:0000287	PRPS2	molecular_function
GO:0000287	PRPSAP1	molecular_function
GO:0000287	PRPSAP2	molecular_function
GO:0000287	EPHX2	molecular_function
GO:0000287	ADCY10	molecular_function
GO:0000287	DHX36	molecular_function
GO:0000287	TREX1	molecular_function
GO:0000287	TSSK6	molecular_function
GO:0000287	PDE2A	molecular_function
GO:0000287	ATP8B4	molecular_function
GO:0000287	FOXK2	molecular_function
GO:0000287	ABL1	molecular_function
GO:0000287	DIS3L2	molecular_function
GO:0000287	ABL2	molecular_function
GO:0000287	IMPA1	molecular_function
GO:0000287	NEK6	molecular_function
GO:0000287	ERN1	molecular_function
GO:0000287	RPS6KA5	molecular_function
GO:0000287	CIB3	molecular_function
GO:0000287	MARK1	molecular_function
GO:0000287	MTHFD2	molecular_function
GO:0000287	ATP8A2	molecular_function
GO:0000287	RPS6KA1	molecular_function
GO:0000287	RPS6KA2	molecular_function
GO:0000287	RPS6KA3	molecular_function
GO:0000287	CIB4	molecular_function
GO:0000287	LRRK2	molecular_function
GO:0000287	STK38	molecular_function
GO:0000287	TSSK2	molecular_function
GO:0000287	PI4K2A	molecular_function
GO:0000287	SRPK1	molecular_function
GO:0000287	SRPK2	molecular_function
GO:0000287	SNRK	molecular_function
GO:0000287	LHPP	molecular_function
GO:0000287	ATP10B	molecular_function
GO:0000287	AASDHPPT	molecular_function
GO:0000287	SIK1	molecular_function
GO:0000287	HMGCL	molecular_function
GO:0000287	ATP9B	molecular_function
GO:0000287	ATP8B1	molecular_function
GO:0000287	EYA2	molecular_function
GO:0000287	PSPH	molecular_function
GO:0000287	SUCLG2	molecular_function
GO:0000287	SUCLA2	molecular_function
GO:0000287	MAST2	molecular_function
GO:0000287	ADCY2	molecular_function
GO:0000287	GEM	molecular_function
GO:0000287	ENOPH1	molecular_function
GO:0000287	PGM1	molecular_function
GO:0000287	NLRC4	molecular_function
GO:0000287	PGM3	molecular_function
GO:0000287	PGM5	molecular_function
GO:0000287	PRTFDC1	molecular_function
GO:0000287	RRAGC	molecular_function
